category,item,amount
assets,Operating,24945870.16
assets,Restricted,12934680.25
assets,Accounts Receivable,514459.92
assets,Prepaid Expenses,255506.02
assets,Fixed Assets,43778776.34
assets,Accum Depreciation,-31088860.28
assets,TOTAL ASSETS,51340432.41
liabilities,Accounts Payable,2174016.25
liabilities,Distributions Payable,1614443.95
liabilities,Accrued Liabilities,1331017.94
liabilities,Accrued Salaries,397410.15
liabilities,Accrued Leave Payable,590571.08
liabilities,Total Liabilities,6107459.37
equity,EQUITY,45232973.04
