category,line_item,march_actual,march_budget,march_variance,ytd_actual,ytd_budget,ytd_variance,march_variance_pct,ytd_variance_pct
revenue,Gaming Machine Revenue,910679.05,1351628.0,-440948.95,3844995.65,4059858.0,-214862.35,-32.62354360815254,-5.292361210663033
revenue,Total Revenue,910679.05,1351628.0,-440948.95,3844995.65,4059858.0,-214862.35,-32.62354360815254,-5.292361210663033
direct_reimbursement,Gaming NAFI,313489.45,385842.0,-72352.55,1113076.7,1144467.0,-31390.3,-18.751859569461075,-2.7427876906892026
direct_reimbursement,Total Direct Reimbursement,313489.45,385842.0,-72352.55,1113076.7,1144467.0,-31390.3,-18.751859569461075,-2.7427876906892026
net_revenue,Net Revenue,597189.6,965786.0,-368596.4,2731918.95,2915391.0,-183472.05,-38.16543209365222,-6.293222761543819
operating_expenses,Compensation & Benefits,282058.38,337653.0,-55594.62,862363.73,1020295.0,-157931.27,-16.465015859477038,-15.478981079001661
operating_expenses,Depreciation Expense,108040.49,116771.0,-8730.51,323211.34,350313.0,-27101.66,-7.476608061933186,-7.7364128650663835
operating_expenses,Contractor Fees,1025.06,1586.0,-560.94,2591.96,4758.0,-2166.04,-35.36822194199244,-45.52416981925179
operating_expenses,Communications,7605.28,10087.0,2481.0,-72.0,24808.7,30261.0,24.59601467235055,121.97737084168054
operating_expenses,TDY,5410.23,3070.0,2340.23,24014.57,114244.0,-90229.43,76.22899022801303,-78.97957879626063
operating_expenses,PCS,-524.9,4836.0,-5360.9,12517.25,14508.0,-1990.75,-110.85401157981802,-13.721739729804247
operating_expenses,IT Expense & Maint,11513.06,37612.0,-26098.94,34421.05,112836.0,-78414.95,-69.38992874614485,-69.49462051118437
operating_expenses,Machine Expense & Maint,8895.17,23130.0,-14234.83,146453.21,69390.0,77063.21,-61.542715088629485,111.05809194408418
operating_expenses,Vehicle Expense,6161.75,3460.0,2701.75,11460.98,6920.0,4540.98,78.08526011560694,65.62109826589595
operating_expenses,Training .00,0.0,8423.0,-8423.0,0.0,11331.0,-11331.0,-100.0,-100.0
operating_expenses,Audit-Independent,3840.35,3494.0,346.35,11521.05,10482.0,1039.05,9.912707498568976,9.912707498568976
operating_expenses,Audit-IMCOM Int Review,935.25,1851.0,-915.75,4454.5,5553.0,-1098.5,-49.47325769854133,-19.782099765892312
operating_expenses,Other Expenses,11235.78,9853.0,1382.78,28433.4,29559.0,-1125.6,14.034101288947529,-3.807977265807368
net_operating_income,Net Operating Income,150993.7,403960.0,-252966.3,1245667.21,1134941.0,110726.21,-62.62162095256956,9.75612036220385
other_income,Interest Revenue,14337.2,5122.0,9215.2,36702.45,15366.0,21336.45,179.91409605622806,138.8549394767669
net_income,Net Income,171836.44,409082.0,-237245.56,1283726.56,1150307.0,133419.56,-57.99462210510362,11.598604546438471
