file_path,header1,header2,header3,header4
/Users/brentbrewington/Downloads/Data/Financial Statements_page_001.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_002.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_003.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_004.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_005.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_006.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_007.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_008.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_009.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_010.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Six Months Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_011.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Six Months Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_012.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Six Months Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_013.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Six Months Ending 31 March 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_014.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 March 2023,March March March YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_015.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_016.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,· Actual vs Budget,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_017.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_018.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_019.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_020.pdf,·ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_021.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_022.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_023.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_024.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Four Months Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_025.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Four Months Ending 3i January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_026.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Four Months Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_027.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Four Months Ending 31 January 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_028.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 January 2020,January January January YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_029.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_030.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_031.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_032.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_033.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_034.pdf,ARMY RECREATION MACHINE PROO,Consolidated Operating Results,Branch of Service,For the Month Ending 31 January 2021
/Users/brentbrewington/Downloads/Data/Financial Statements_page_035.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_036.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_037.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_038.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_039.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_040.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_041.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_042.pdf,,,,
/Users/brentbrewington/Downloads/Data/Financial Statements_page_043.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_044.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_045.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_046.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_047.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_048.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_049.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_050.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_051.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_052.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Four Months Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_053.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Four Months Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_054.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Four Months Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_055.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Four Months Ending 31 January 2022
/Users/brentbrewington/Downloads/Data/Financial Statements_page_056.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 January 2022,January January January YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_057.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_058.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_059.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_060.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_061.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_062.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_063.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_064.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_065.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_066.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Four Months Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_067.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Four Months Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_068.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Four Months Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_069.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Four Months Ending 31 January 2023
/Users/brentbrewington/Downloads/Data/Financial Statements_page_070.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 January 2023,January January January YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_071.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_072.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_073.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_074.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_075.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Actual vs Budget,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_076.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_077.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_078.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_079.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Month Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_080.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_081.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_082.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_083.pdf,ARMY RECREATION MACHINE PROG,Japan Operating Results,Branch of Service,For the Four Months Ending 31 January 2024
/Users/brentbrewington/Downloads/Data/Financial Statements_page_084.pdf,ARMY RECREATION MACHINE PROG,Statement of Gaming Revenue,For the Month Ending 31 January 2024,January January January YTD YTD YTD
/Users/brentbrewington/Downloads/Data/Financial Statements_page_085.pdf,ARMY RECREATION MACHINE PROG,Statement of Financial Condition,Unaudited,As of 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_086.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_087.pdf,ARMY RECREATION MACHINE PROG,Europe Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_088.pdf,ARMY RECREATION MACHINE PROG,Korea Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_089.pdf,ARMY RECREATION MACHINE FROG,Japan Operating Results,Actual vs Budget,For the Month Ending 29 February 2020
/Users/brentbrewington/Downloads/Data/Financial Statements_page_090.pdf,ARMY RECREATION MACHINE PROG,Consolidated Operating Results,Branch of Service,For the Month Ending 29 February 2020
